"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","id","max_div","max_tree"
"1","b1_conf",1.173341437,1.067745,0.549478969062355,0.5029831695,0.4699495,2.2607215,1.00162636634567,2702.81858949619,2223.0662111159,"sub-1001",0,0
"2","b1_rt",-0.0122126245423125,-0.0117136,0.0103166955693613,0.00977114943,-0.02992461,0.00353720299999999,1.00064406315661,2362.25998636065,1830.94148210773,"sub-1001",0,0
"3","b1_conf",0.099748487275,0.09958145,0.0175407050649304,0.01751588118,0.071349725,0.1293081,1.00148254820756,2193.34909280711,2715.08972038435,"sub-1004",0,0
"4","b1_rt",-0.065798322575,-0.064128,0.020645578528802,0.02089116834,-0.1031064,-0.035047505,1.00596354005216,945.636575375193,2026.20621750834,"sub-1004",0,0
"5","b1_conf",0.0047062992604965,0.004652435,0.00846886304404565,0.008499249129,-0.0092782445,0.01871689,1.00053981486881,2846.47155211885,2928.12741780743,"sub-1005",0,0
"6","b1_rt",-0.031017854651,-0.0307097,0.0108435123754096,0.0105805749,-0.049501145,-0.01394124,1.00068208445299,2597.16549808255,2247.63009396632,"sub-1005",0,0
"7","b1_conf",0.01018478948451,0.0101362,0.00765617212272599,0.007630015575,-0.0023645125,0.022671655,1.00064577783527,3179.54665173739,3133.17212535481,"sub-1017",0,0
"8","b1_rt",-0.023153588904775,-0.02253075,0.010000978745157,0.00979383321,-0.040690445,-0.007948679,1.00006687006284,2655.23907162198,2050.92518866591,"sub-1017",0,0
"9","b1_conf",-0.00883741317178,-0.009297345,0.00548754747482836,0.00572935944,-0.017040075,0.000760440549999995,1.00497592965674,569.551743577818,2198.77218372719,"sub-1019",0,0
"10","b1_rt",-0.01625924637655,-0.0156523,0.00765182258390532,0.00771048369,-0.029607635,-0.0044029765,1.00287065960215,782.45316909393,2240.26731055177,"sub-1019",0,0
"11","b1_conf",0.052283746105375,0.0488923,0.0326574859621029,0.03170636469,0.0049571905,0.1099531,0.999903949043827,3589.80614441461,2461.03938041456,"sub-1022",0,0
"12","b1_rt",-0.00289491462816,-0.00268599,0.00724916698350847,0.007066382946,-0.015095595,0.008448424,1.00187054542258,2975.61818075167,2253.73750767514,"sub-1022",0,0
"13","b1_conf",-0.00390240381925,-0.003853215,0.00537102769650716,0.0054229883043,-0.012629355,0.0051193725,1.00109816707887,2660.24527014094,2574.89583847414,"sub-2014",0,0
"14","b1_rt",-0.0178338722685,-0.01772425,0.00642420392736645,0.00600393696,-0.02869492,-0.0075379155,1.00098508174831,1745.04692260444,1959.11612730208,"sub-2014",0,0
"15","b1_conf",0.249539167025,0.242053,0.0642421139200271,0.0613788987,0.1569498,0.36807435,1.00079665655194,3085.9872767227,2726.92023465431,"sub-2016",0,0
"16","b1_rt",-0.0175101534351,-0.01697775,0.0066737956793092,0.00638540994,-0.029233895,-0.00738545,1.00057786164594,3121.33611620352,2581.27882877956,"sub-2016",0,0
"17","b1_conf",0.00372858018742887,0.003716875,0.0032788429095673,0.00330642039,-0.0016274205,0.009115901,0.999810104730641,3861.00530107542,3011.47932169918,"sub-3011",0,0
"18","b1_rt",-0.029028655625,-0.0289524,0.00523522888963559,0.00520029363,-0.03776103,-0.020617985,1.00237596535744,2187.59996949894,2426.8386241851,"sub-3011",0,0
"19","b1_conf",0.01302107338089,0.0125625,0.00898070110261563,0.0086517123,-0.00088718945,0.029089055,1.00139518036348,1902.42855445891,1858.45558722861,"sub-4007",0,0
"20","b1_rt",-0.000627948566247,-0.0001047205,0.00586338855975266,0.0055840653813,-0.010995585,0.0078975525,1.00100501291914,1796.24748370081,2463.73612070894,"sub-4007",0,0
"21","b1_conf",0.027944622620125,0.02686195,0.0201135127593106,0.01956542742,-0.002273434,0.062683885,1.00058183318338,2617.17457540281,2462.99624904612,"sub-4019",0,0
"22","b1_rt",-0.031911377057,-0.0318684,0.00819516458585026,0.00803606265,-0.04574067,-0.01898238,1.00126099061809,2360.30065036935,2508.43445276027,"sub-4019",0,0
