"","b1_conf","b1_rt","id","max_div","max_tree"
"1",1.0041,-0.0141161,"sub-1001",0,0
"2",1.33398,-0.0476704,"sub-1001",0,0
"3",1.4043,-0.0494214,"sub-1001",0,0
"4",1.03203,-0.046094,"sub-1001",0,0
"5",0.894538,-0.0441816,"sub-1001",0,0
"6",0.633973,-0.0281063,"sub-1001",0,0
"7",0.795312,-0.00314427,"sub-1001",0,0
"8",1.47581,-0.0087606,"sub-1001",0,0
"9",1.36099,-0.0180268,"sub-1001",0,0
"10",1.11851,-0.0153039,"sub-1001",0,0
"11",0.869017,-0.00240261,"sub-1001",0,0
"12",1.5298,-0.0290527,"sub-1001",0,0
"13",0.573645,-0.0479627,"sub-1001",0,0
"14",1.24143,-0.0347299,"sub-1001",0,0
"15",0.826498,-0.0212507,"sub-1001",0,0
"16",1.50486,-0.0254367,"sub-1001",0,0
"17",1.20693,-0.0250416,"sub-1001",0,0
"18",1.94644,-0.0120138,"sub-1001",0,0
"19",1.56667,-0.027146,"sub-1001",0,0
"20",1.01018,-0.0235152,"sub-1001",0,0
"21",0.726111,-0.0379109,"sub-1001",0,0
"22",0.915934,-0.0289069,"sub-1001",0,0
"23",0.751943,-0.0533164,"sub-1001",0,0
"24",0.607214,-0.00599202,"sub-1001",0,0
"25",1.08282,-0.0188802,"sub-1001",0,0
"26",0.831183,-0.022797,"sub-1001",0,0
"27",1.44153,-0.00714252,"sub-1001",0,0
"28",2.07218,-0.021809,"sub-1001",0,0
"29",1.28284,-0.031145,"sub-1001",0,0
"30",0.757208,-0.00267495,"sub-1001",0,0
"31",1.21105,-0.00793126,"sub-1001",0,0
"32",0.862466,-0.00880105,"sub-1001",0,0
"33",2.00996,-0.0297791,"sub-1001",0,0
"34",0.486511,-0.0196007,"sub-1001",0,0
"35",1.24338,-0.00281671,"sub-1001",0,0
"36",1.37592,-0.0435928,"sub-1001",0,0
"37",0.933703,-0.0342194,"sub-1001",0,0
"38",1.00125,-0.0241481,"sub-1001",0,0
"39",0.759128,-0.0268582,"sub-1001",0,0
"40",1.57445,-0.0172472,"sub-1001",0,0
"41",0.611202,-0.0327351,"sub-1001",0,0
"42",1.21311,-0.0263196,"sub-1001",0,0
"43",1.35432,-0.000102307,"sub-1001",0,0
"44",0.655576,-0.0131764,"sub-1001",0,0
"45",1.01278,-0.0236522,"sub-1001",0,0
"46",0.666996,-0.0111227,"sub-1001",0,0
"47",0.761793,-0.0224676,"sub-1001",0,0
"48",0.652802,-0.0260266,"sub-1001",0,0
"49",0.532427,-0.0227231,"sub-1001",0,0
"50",0.873984,-0.0211576,"sub-1001",0,0
"51",0.690556,-0.0255605,"sub-1001",0,0
"52",0.880703,0.00107051,"sub-1001",0,0
"53",0.997999,-0.000410323,"sub-1001",0,0
"54",0.886654,-0.000372516,"sub-1001",0,0
"55",1.44448,-0.0284552,"sub-1001",0,0
"56",1.04096,-0.0538447,"sub-1001",0,0
"57",0.951603,-0.041658,"sub-1001",0,0
"58",0.757014,-0.0394601,"sub-1001",0,0
"59",1.1078,-0.0227487,"sub-1001",0,0
"60",0.393738,-0.00835053,"sub-1001",0,0
"61",1.23123,-0.0239572,"sub-1001",0,0
"62",1.59455,-0.00462183,"sub-1001",0,0
"63",1.00737,-0.012091,"sub-1001",0,0
"64",0.423791,-0.0361684,"sub-1001",0,0
"65",2.02295,-0.0372689,"sub-1001",0,0
"66",0.552414,-0.0643525,"sub-1001",0,0
"67",0.707828,-0.0840093,"sub-1001",0,0
"68",1.44686,-0.0234509,"sub-1001",0,0
"69",1.77771,-0.0269885,"sub-1001",0,0
"70",0.650389,-0.0411399,"sub-1001",0,0
"71",0.881228,-0.00443217,"sub-1001",0,0
"72",0.764695,-0.00676189,"sub-1001",0,0
"73",0.894181,-0.00793443,"sub-1001",0,0
"74",0.956628,-0.00502596,"sub-1001",0,0
"75",0.746293,-0.00244282,"sub-1001",0,0
"76",1.59995,-0.0267906,"sub-1001",0,0
"77",1.98804,-0.0399108,"sub-1001",0,0
"78",2.1919,-0.0242657,"sub-1001",0,0
"79",0.93236,-0.0276001,"sub-1001",0,0
"80",0.94209,-0.0231672,"sub-1001",0,0
"81",0.89796,-0.0104681,"sub-1001",0,0
"82",1.12056,-0.00150146,"sub-1001",0,0
"83",1.23681,-0.0220287,"sub-1001",0,0
"84",0.694468,0.00136925,"sub-1001",0,0
"85",1.70294,-0.00729096,"sub-1001",0,0
"86",1.18267,-0.0121801,"sub-1001",0,0
"87",0.540574,-0.0109828,"sub-1001",0,0
"88",1.48346,-0.0147086,"sub-1001",0,0
"89",0.458945,-0.0294549,"sub-1001",0,0
"90",0.530849,-0.0374903,"sub-1001",0,0
"91",0.905339,-0.0150693,"sub-1001",0,0
"92",0.642763,-0.0116073,"sub-1001",0,0
"93",0.95344,-0.0126593,"sub-1001",0,0
"94",1.09395,-0.0095431,"sub-1001",0,0
"95",0.676204,-0.0217273,"sub-1001",0,0
"96",1.22335,-0.0156565,"sub-1001",0,0
"97",1.13794,-0.00985874,"sub-1001",0,0
"98",0.560885,-0.00269913,"sub-1001",0,0
"99",1.33165,-0.0308209,"sub-1001",0,0
"100",1.34493,-0.0396615,"sub-1001",0,0
"101",1.78555,-0.00624074,"sub-1001",0,0
"102",1.12562,-0.0190004,"sub-1001",0,0
"103",1.35091,-0.0109154,"sub-1001",0,0
"104",1.0089,-0.0117473,"sub-1001",0,0
"105",0.482043,-0.00954293,"sub-1001",0,0
"106",0.823361,0.00538486,"sub-1001",0,0
"107",0.945859,-0.0118376,"sub-1001",0,0
"108",1.37049,-0.00989332,"sub-1001",0,0
"109",2.45384,-0.0163091,"sub-1001",0,0
"110",1.50377,-0.042975,"sub-1001",0,0
"111",1.19908,-0.0293131,"sub-1001",0,0
"112",1.52056,-0.0318442,"sub-1001",0,0
"113",0.918972,-0.0315371,"sub-1001",0,0
"114",1.32483,-0.0253178,"sub-1001",0,0
"115",0.393092,-0.0110195,"sub-1001",0,0
"116",0.505635,-0.0223249,"sub-1001",0,0
"117",0.969192,-0.00201293,"sub-1001",0,0
"118",1.10191,-0.0126607,"sub-1001",0,0
"119",0.958209,-0.0130602,"sub-1001",0,0
"120",1.71235,0.00320912,"sub-1001",0,0
"121",1.16092,-0.0115786,"sub-1001",0,0
"122",1.59365,-0.0134508,"sub-1001",0,0
"123",1.16768,-0.00153127,"sub-1001",0,0
"124",0.617503,-0.0174063,"sub-1001",0,0
"125",1.2923,-0.0237896,"sub-1001",0,0
"126",2.96517,-0.012361,"sub-1001",0,0
"127",1.21772,-0.0253527,"sub-1001",0,0
"128",0.746019,0.00144822,"sub-1001",0,0
"129",1.26412,-0.0195468,"sub-1001",0,0
"130",0.642728,-0.0131316,"sub-1001",0,0
"131",1.11443,-0.0339738,"sub-1001",0,0
"132",0.587256,-0.0216185,"sub-1001",0,0
"133",1.83138,-0.0182689,"sub-1001",0,0
"134",0.80574,-0.00821725,"sub-1001",0,0
"135",0.714974,-0.0135871,"sub-1001",0,0
"136",1.00365,-0.0224261,"sub-1001",0,0
"137",0.934654,-0.000215772,"sub-1001",0,0
"138",0.900121,-0.0244221,"sub-1001",0,0
"139",0.98884,-0.00118628,"sub-1001",0,0
"140",1.33769,-0.0305012,"sub-1001",0,0
"141",0.299322,-0.0388032,"sub-1001",0,0
"142",1.95138,-0.0169835,"sub-1001",0,0
"143",0.72913,0.00400213,"sub-1001",0,0
"144",1.33706,-0.0238895,"sub-1001",0,0
"145",0.66486,0.00410411,"sub-1001",0,0
"146",0.810787,-0.0164785,"sub-1001",0,0
"147",0.967184,-0.00655002,"sub-1001",0,0
"148",1.01563,-0.0189291,"sub-1001",0,0
"149",1.12491,-0.000301671,"sub-1001",0,0
"150",0.729,-0.0198569,"sub-1001",0,0
"151",1.1156,-0.00696791,"sub-1001",0,0
"152",0.822694,-0.00210452,"sub-1001",0,0
