"subject","group","age","gender","even_sub","language","trial","temp_cond","condition","tmax_temp","tmin_temp","TC","tempResp","PHS","tempRT","vasRating","catch","duration"
"sub-1001",1,24,"M",FALSE,1,56,4,8,45.8,28.7,34.2,1,0,0.6264972,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,2,1,1,35.1,26.1,18,1,0,0.8340209,100,0,1e-04
"sub-1002",1,24,"F",TRUE,1,3,1,1,35.1,27,16.2,1,0,0.628345,100,0,1e-04
"sub-1002",1,24,"F",TRUE,1,4,1,1,35.1,26.3,17.6,1,0,0.4752919,97.9166666666667,0,1e-04
"sub-1002",1,24,"F",TRUE,1,5,1,1,35.1,31.8,6.6,0,1,0.5483083,100,1,1e-04
"sub-1002",1,24,"F",TRUE,1,6,1,1,35.1,15.6,39,1,0,0.5655397,100,0,1e-04
"sub-1002",1,24,"F",TRUE,1,7,1,1,35.1,30.7,8.8,0,1,0.4594415,96.09375,0,1e-04
"sub-1002",1,24,"F",TRUE,1,8,1,2,35.1,15.6,39,1,0,0.396755,NA,0,1.5
"sub-1002",1,24,"F",TRUE,1,9,1,2,35.1,27,16.2,1,0,0.4503297,89.5833333333333,0,1.5
"sub-1002",1,24,"F",TRUE,1,10,1,2,35.1,31.8,6.6,0,1,0.4590408,99.8697916666667,1,1.5
"sub-1002",1,24,"F",TRUE,1,11,1,2,35.1,21.5,27.2,1,0,0.4062152,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,12,1,2,35.1,24.1,22,1,0,0.4807624,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,13,1,2,35.1,31.5,7.2,0,1,0.3398968,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,14,1,2,35.1,18.3,33.6,1,0,0.4569205,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,15,2,3,36.4,31.6,9.59999999999999,0,1,0.269567,100,1,1e-04
"sub-1002",1,24,"F",TRUE,1,17,2,3,36.4,26.3,20.2,1,0,0.3842353,62.2395833333333,0,1e-04
"sub-1002",1,24,"F",TRUE,1,18,2,3,36.4,31.7,9.4,0,1,0.3725642,44.921875,0,1e-04
"sub-1002",1,24,"F",TRUE,1,19,2,3,36.4,31.8,9.2,0,1,0.300562,76.171875,0,1e-04
"sub-1002",1,24,"F",TRUE,1,20,2,3,36.4,31.2,10.4,0,1,1.5038049,50.9114583333333,0,1e-04
"sub-1002",1,24,"F",TRUE,1,21,2,3,36.4,22.1,28.6,1,0,0.4333507,64.453125,0,1e-04
"sub-1002",1,24,"F",TRUE,1,22,2,4,36.4,31.2,10.4,0,1,0.6586622,50.390625,0,1.5
"sub-1002",1,24,"F",TRUE,1,23,2,4,36.4,31.8,9.2,0,1,0.354192,100,1,1.5
"sub-1002",1,24,"F",TRUE,1,24,2,4,36.4,28.2,16.4,1,0,0.5429993,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,25,2,4,36.4,28.6,15.6,1,0,0.3277999,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,26,2,4,36.4,25,22.8,1,0,0.3488818,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,27,2,4,36.4,27.1,18.6,1,0,0.3368737,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,28,2,4,36.4,25.7,21.4,1,0,0.3622218,79.296875,0,1.5
"sub-1002",1,24,"F",TRUE,1,29,3,5,49.6,31.8,35.6,0,1,2.1785942,100,0,1e-04
"sub-1002",1,24,"F",TRUE,1,30,3,5,49.6,31,37.2,0,1,0.4394559,100,0,1e-04
"sub-1002",1,24,"F",TRUE,1,31,3,5,49.6,29.2,40.8,0,1,0.6169633,100,0,1e-04
"sub-1002",1,24,"F",TRUE,1,32,3,5,49.6,17.2,64.8,1,0,5.7683725,46.875,0,1e-04
"sub-1002",1,24,"F",TRUE,1,33,3,5,49.6,28.3,42.6,0,1,0.5734914,100,0,1e-04
"sub-1002",1,24,"F",TRUE,1,35,3,5,49.6,31.8,35.6,0,1,0.4508016,100,1,1e-04
"sub-1002",1,24,"F",TRUE,1,36,3,6,49.6,27.5,44.2,1,0,0.4736192,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,37,3,6,49.6,31.8,35.6,0,1,0.3893554,49.21875,1,1.5
"sub-1002",1,24,"F",TRUE,1,38,3,6,49.6,26.9,45.4,1,0,0.5602646,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,39,3,6,49.6,29,41.2,1,0,0.5357891,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,40,3,6,49.6,25.2,48.8,1,0,0.3487158,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,41,3,6,49.6,25.9,47.4,1,0,0.6005833,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,42,3,6,49.6,26,47.2,1,0,0.3413742,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,43,4,7,50.7,26.9,47.6,1,0,0.4686157,100,0,1e-04
"sub-1002",1,24,"F",TRUE,1,44,4,7,50.7,25.5,50.4,1,0,0.3738222,100,0,1e-04
"sub-1002",1,24,"F",TRUE,1,45,4,7,50.7,22.7,56,1,0,0.5037584,100,0,1e-04
"sub-1002",1,24,"F",TRUE,1,46,4,7,50.7,13.5,74.4,1,0,0.4458263,76.5625,0,1e-04
"sub-1002",1,24,"F",TRUE,1,47,4,7,50.7,23.6,54.2,1,0,0.5189723,100,0,1e-04
"sub-1002",1,24,"F",TRUE,1,48,4,7,50.7,22.4,56.6,1,0,0.5402803,100,0,1e-04
"sub-1002",1,24,"F",TRUE,1,49,4,7,50.7,31.8,37.8,0,1,0.6887585,100,1,1e-04
"sub-1002",1,24,"F",TRUE,1,50,4,8,50.7,28,45.4,1,0,0.373381,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,51,4,8,50.7,27.9,45.6,1,0,0.3512288,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,52,4,8,50.7,24.4,52.6,1,0,0.3343457,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,53,4,8,50.7,31.8,37.8,0,1,0.3285196,76.3020833333333,1,1.5
"sub-1002",1,24,"F",TRUE,1,54,4,8,50.7,24.2,53,1,0,0.3093365,99.21875,0,1.5
"sub-1002",1,24,"F",TRUE,1,55,4,8,50.7,26.6,48.2,1,0,0.4159096,100,0,1.5
"sub-1002",1,24,"F",TRUE,1,56,4,8,50.7,13.4,74.6,1,0,0.3803514,100,0,1.5
"sub-1003",1,21,"F",FALSE,1,1,1,1,34.7,23,23.4,1,0,1.4376564,26.8229166666667,0,1e-04
"sub-1003",1,21,"F",FALSE,1,2,1,1,34.7,24.6,20.2,1,0,0.6078083,61.71875,0,1e-04
"sub-1003",1,21,"F",FALSE,1,3,1,1,34.7,31.8,5.8,0,1,0.8899978,83.7239583333333,1,1e-04
"sub-1003",1,21,"F",FALSE,1,4,1,1,34.7,24.8,19.8,1,0,0.7099973,63.671875,0,1e-04
"sub-1003",1,21,"F",FALSE,1,5,1,1,34.7,26.1,17.2,1,0,0.5338694,69.4010416666667,0,1e-04
"sub-1003",1,21,"F",FALSE,1,6,1,1,34.7,25.6,18.2,1,0,0.677727,61.8489583333333,0,1e-04
"sub-1003",1,21,"F",FALSE,1,7,1,1,34.7,26,17.4,1,0,0.9791879,61.9791666666667,0,1e-04
"sub-1003",1,21,"F",FALSE,1,8,1,1,34.7,24.7,20,1,0,0.7101887,66.015625,0,1e-04
"sub-1003",1,21,"F",FALSE,1,9,1,2,34.7,24.5,20.4,1,0,0.771339,11.5885416666667,0,1.5
"sub-1003",1,21,"F",FALSE,1,10,1,2,34.7,22.3,24.8,1,0,0.5018739,7.29166666666667,0,1.5
"sub-1003",1,21,"F",FALSE,1,11,1,2,34.7,27.3,14.8,1,0,0.4054177,41.2760416666667,0,1.5
"sub-1003",1,21,"F",FALSE,1,12,1,2,34.7,31.8,5.8,0,1,1.4451104,71.3541666666667,1,1.5
"sub-1003",1,21,"F",FALSE,1,13,1,2,34.7,25.2,19,1,0,0.4973987,24.609375,0,1.5
"sub-1003",1,21,"F",FALSE,1,14,1,2,34.7,24.1,21.2,1,0,0.3148136,50.1302083333333,0,1.5
"sub-1003",1,21,"F",FALSE,1,15,1,2,34.7,26.8,15.8,1,0,0.3842511,57.9427083333333,0,1.5
"sub-1003",1,21,"F",FALSE,1,16,1,2,34.7,24.2,21,1,0,0.5110383,25.1302083333333,0,1.5
"sub-1003",1,21,"F",FALSE,1,17,2,3,39.2,26.4,25.6,1,0,0.3368441,22.7864583333333,0,1e-04
"sub-1003",1,21,"F",FALSE,1,18,2,3,39.2,26.4,25.6,1,0,0.4394222,13.9322916666667,0,1e-04
"sub-1003",1,21,"F",FALSE,1,19,2,3,39.2,23.5,31.4,1,0,1.2846801,9.11458333333333,0,1e-04
"sub-1003",1,21,"F",FALSE,1,20,2,3,39.2,26.6,25.2,1,0,0.3040975,38.0208333333333,0,1e-04
"sub-1003",1,21,"F",FALSE,1,21,2,3,39.2,31.8,14.8,0,1,0.7860376,73.9583333333333,1,1e-04
"sub-1003",1,21,"F",FALSE,1,22,2,3,39.2,20.5,37.4,1,0,2.1956763,0,0,1e-04
"sub-1003",1,21,"F",FALSE,1,23,2,3,39.2,21.2,36,1,0,0.3911444,23.6979166666667,0,1e-04
