wdt_levels	wdt_fit
30	0.05000048284137
30.0058	0.0500005065749672
30.0116	0.0500005314290754
30.0174	0.0500005574542593
30.0232	0.0500005847032506
30.029	0.050000613231036
30.0348	0.0500006430949474
30.0406	0.0500006743547566
30.0464	0.0500007070727726
30.0522	0.0500007413139429
30.058	0.0500007771459589
30.0638	0.0500008146393645
30.0696	0.0500008538676691
30.0754	0.050000894907465
30.0812	0.0500009378385484
30.087	0.0500009827440454
30.0928	0.0500010297105424
30.0986	0.0500010788282212
30.1044	0.050001130190999
30.1102	0.0500011838966735
30.116	0.0500012400470729
30.1218	0.0500012987482119
30.1276	0.0500013601104525
30.1334	0.0500014242486711
30.1392	0.0500014912824312
30.145	0.0500015613361624
30.1508	0.0500016345393453
30.1566	0.0500017110267037
30.1624	0.0500017909384023
30.1682	0.0500018744202525
30.174	0.0500019616239243
30.1798	0.0500020527071665
30.1856	0.0500021478340336
30.1914	0.0500022471751211
30.1972	0.0500023509078084
30.203	0.0500024592165103
30.2088	0.0500025722929371
30.2146	0.0500026903363628
30.2204	0.0500028135539035
30.2262	0.0500029421608038
30.232	0.0500030763807342
30.2378	0.0500032164460968
30.2436	0.0500033625983429
30.2494	0.0500035150882998
30.2552	0.0500036741765086
30.261	0.0500038401335737
30.2668	0.0500040132405229
30.2726	0.05000419378918
30.2784	0.0500043820825489
30.2842	0.0500045784352102
30.29	0.0500047831737311
30.2958	0.0500049966370876
30.3016	0.0500052191771009
30.3074	0.0500054511588874
30.3132	0.0500056929613228
30.319	0.0500059449775211
30.3248	0.0500062076153286
30.3306	0.0500064812978332
30.3364	0.05000676646389
30.3422	0.0500070635686626
30.348	0.0500073730841815
30.3538	0.0500076954999199
30.3596	0.0500080313233866
30.3654	0.0500083810807375
30.3712	0.0500087453174056
30.377	0.0500091245987496
30.3828	0.0500095195107228
30.3886	0.0500099306605614
30.3944	0.0500103586774941
30.4002	0.0500108042134717
30.406	0.0500112679439198
30.4118	0.0500117505685122
30.4176	0.050012252811968
30.4234	0.0500127754248717
30.4292	0.050013319184517
30.435	0.0500138848957755
30.4408	0.0500144733919897
30.4466	0.0500150855358922
30.4524	0.0500157222205512
30.4582	0.0500163843703425
30.464	0.050017072941949
30.4698	0.0500177889253891
30.4756	0.0500185333450727
30.4814	0.0500193072608875
30.4872	0.0500201117693155
30.493	0.0500209480045797
30.4988	0.050021817139823
30.5046	0.0500227203883186
30.5104	0.0500236590047143
30.5162	0.0500246342863094
30.522	0.0500256475743668
30.5278	0.05002670025546
30.5336	0.0500277937628558
30.5394	0.0500289295779338
30.5452	0.0500301092316437
30.551	0.050031334306
30.5568	0.0500326064356166
30.5626	0.0500339273092809
30.5684	0.0500352986715678
30.5742	0.0500367223244967
30.58	0.0500382001292293
30.5858	0.0500397340078111
30.5916	0.0500413259449571
30.5974	0.0500429779898822
30.6032	0.0500446922581764
30.609	0.0500464709337285
30.6148	0.0500483162706946
30.6206	0.0500502305955175
30.6264	0.0500522163089935
30.6322	0.05005427588839
30.638	0.0500564118896139
30.6438	0.0500586269494323
30.6496	0.0500609237877452
30.6554	0.0500633052099127
30.6612	0.0500657741091367
30.667	0.0500683334688976
30.6728	0.0500709863654483
30.6786	0.0500737359703652
30.6844	0.0500765855531576
30.6902	0.0500795384839365
30.696	0.0500825982361434
30.7018	0.0500857683893409
30.7076	0.0500890526320649
30.7134	0.0500924547647397
30.7192	0.050095978702658
30.725	0.0500996284790247
30.7308	0.0501034082480676
30.7366	0.0501073222882142
30.7424	0.050111375005337
30.7482	0.0501155709360664
30.754	0.0501199147511744
30.7598	0.0501244112590281
30.7656	0.0501290654091148
30.7714	0.0501338822956394
30.7772	0.0501388671611952
30.783	0.0501440254005087
30.7888	0.0501493625642593
30.7946	0.0501548843629754
30.8004	0.0501605966710062
30.8062	0.0501665055305721
30.812	0.0501726171558932
30.8178	0.0501789379373966
30.8236	0.050185474446004
30.8294	0.0501922334375005
30.8352	0.0501992218569843
30.841	0.0502064468433992
30.8468	0.0502139157341497
30.8526	0.0502216360698002
30.8584	0.0502296155988591
30.8642	0.0502378622826463
30.87	0.0502463843002489
30.8758	0.0502551900535611
30.8816	0.0502642881724121
30.8874	0.0502736875197815
30.8932	0.0502833971971022
30.899	0.0502934265496526
30.9048	0.0503037851720368
30.9106	0.0503144829137554
30.9164	0.0503255298848648
30.9222	0.0503369364617282
30.928	0.0503487132928556
30.9338	0.0503608713048356
30.9396	0.0503734217083581
30.9454	0.0503863760043279
30.9512	0.05039974599007
30.957	0.0504135437656261
30.9628	0.0504277817401434
30.9686	0.0504424726383541
30.9744	0.0504576295071472
30.9802	0.0504732657222314
30.986	0.0504893949948896
30.9918	0.0505060313788244
30.9976	0.0505231892770948
31.0034	0.0505408834491432
31.0092	0.0505591290179131
31.015	0.0505779414770562
31.0208	0.0505973366982296
31.0266	0.0506173309384807
31.0324	0.0506379408477218
31.0382	0.0506591834762909
31.044	0.0506810762826
31.0498	0.0507036371408696
31.0556	0.0507268843489477
31.0614	0.0507508366362132
31.0672	0.0507755131715627
31.073	0.0508009335714786
31.0788	0.0508271179081788
31.0846	0.0508540867178454
31.0904	0.0508818610089316
31.0962	0.0509104622705455
31.102	0.050939912480909
31.1078	0.0509702341158902
31.1136	0.051001450157608
31.1194	0.0510335841031063
31.1252	0.051066659973097
31.131	0.0511007023207685
31.1368	0.0511357362406594
31.1426	0.0511717873775931
31.1484	0.0512088819356729
31.1542	0.0512470466873343
31.16	0.0512863089824523
31.1658	0.0513266967575006
31.1716	0.0513682385447612
